timestamp,date,item,amount_inr,category,notes,source,amount,description,payment_method
2026-07-17T20:00:00+05:30,2026-07-17,Bowling night,900,💃 Outings,,manual-chat,,,credit_card
2026-07-17T11:20:00+05:30,2026-07-17,Kitchen supplies,1500,🧑‍🍳 Cook,,manual-chat,,,bank
2026-07-18T14:30:00+05:30,2026-07-18,Movie ticket,450,🎟️ Miscellaneous,,manual-chat,,,credit_card
2026-07-18T10:10:00+05:30,2026-07-18,Groceries,880,🍎 Groceries,,manual-chat,,,upi
2026-07-19T09:30:00+05:30,2026-07-19,Furniture Rent,1200,🪑 Furniture Rent,,manual-chat,,,bank
2026-07-19T15:00:00+05:30,2026-07-19,Laundry,380,🧺 Laundry,,manual-chat,,,upi
2026-07-20T13:00:00+05:30,2026-07-20,Food order,290,🍲 Food Order,,manual-chat,,,credit_card
2026-07-20T17:40:00+05:30,2026-07-20,Amazon order,1599,🛍️ Shopping,,manual-chat,,,credit_card
2026-07-21T18:45:00+05:30,2026-07-21,Football match,700,⚽ Football,,manual-chat,,,upi
2026-07-21T20:30:00+05:30,2026-07-21,Petrol,750,🛵 Travel,,manual-chat,,,bank
2026-07-22T12:00:00+05:30,2026-07-22,Haircut,300,💇‍♂️ Haircut,,manual-chat,,,bank
2026-07-22T10:15:00+05:30,2026-07-22,Groceries,1120,🍎 Groceries,,manual-chat,,,upi
2026-07-23T21:15:00+05:30,2026-07-23,Dinner,1300,💃 Outings,,manual-chat,,,credit_card
2026-07-24T11:00:00+05:30,2026-07-24,Electricity bill,2100,🔌 Electricity,,manual-chat,,,bank
2026-07-25T09:00:00+05:30,2026-07-25,Cloud Storage,1499,📺 Subscriptions,,manual-chat,,,credit_card
2026-07-26T10:30:00+05:30,2026-07-26,Groceries,760,🍎 Groceries,,manual-chat,,,upi
2026-07-27T13:20:00+05:30,2026-07-27,Food order,350,🍲 Food Order,,manual-chat,,,credit_card
2026-07-28T16:40:00+05:30,2026-07-28,Shopping,980,🛍️ Shopping,,manual-chat,,,credit_card
2026-07-29T18:30:00+05:30,2026-07-29,Football turf,1300,⚽ Football,,manual-chat,,,upi
2026-07-30T12:10:00+05:30,2026-07-30,Water bill,300,🚰 Water,,manual-chat,,,bank
2026-07-31T19:45:00+05:30,2026-07-31,Miscellaneous,500,🎟️ Miscellaneous,,manual-chat,,,upi
2026-08-01T09:15:00+05:30,2026-08-01,Rent,32000,🏠 Rent,,manual-chat,,,bank
2026-08-02T10:30:00+05:30,2026-08-02,Groceries,1450,🍎 Groceries,,manual-chat,,,upi
2026-08-03T13:40:00+05:30,2026-08-03,Food order,380,🍲 Food Order,,manual-chat,,,credit_card
