timestamp,date,item,amount_inr,category,notes,source
2026-03-13T23:11+05:30,2026-03-13,Ball pump,209,Football,Split from groceries entry,manual-chat
2026-03-13T23:21+05:30,2026-03-13,Rapido to home,146,Travel,,manual-chat
2026-03-14T13:25+05:30,2026-03-14,Football,255,Football,,manual-chat
2026-03-14T14:46+05:30,2026-03-14,Milk,24,Food,,manual-chat
2026-03-14T17:52+05:30,2026-03-14,Rapido to turf,125,Travel,,manual-chat
2026-03-14T20:05+05:30,2026-03-14,Rapido to watch shop,42,Travel,,manual-chat
2026-03-14T20:10+05:30,2026-03-14,Watch repair,30,Shopping,,manual-chat
2026-03-14T20:55+05:30,2026-03-14,Rapido to home,112,Travel,,manual-chat
,2026-03-15,Suitcase,1899,Goa Shopping,,
2026-03-16T09:44:31.052710,2026-03-16,Wifi 15 gb extension,59,Bills,,manual-chat
2026-03-16T10:22:37.734147,2026-03-16,Waffle + milk shake,272.5,Food,,manual-chat
2026-03-16T10:31:18.929933,2026-03-16,Pizza,901.05,Food,,manual-chat
2026-03-16T14:23:45.990135,2026-03-16,Cloth ironing,90,Personal care,,manual-chat
2026-03-17T05:00:24.533122,2026-03-17,Wifi 100 gb,295,Bills,,manual-chat
2026-03-23T09:36:29.218569,2026-03-23,Zomato lunch,653.83,Food,,manual-chat
2026-03-23T17:30:22.779762,2026-03-23,Zomato,656.59,Food,,manual-chat
2026-03-24T10:58:42.994735,2026-03-24,Groceries,408,Food,,manual-chat
2026-03-25T05:37:41.539768,2026-03-25,Rapido to work,148,Travel,,manual-chat
2026-03-25T12:49:27.691689,2026-03-25,Rapido to home,161,Travel,,manual-chat
2026-03-25T13:05:37.411554,2026-03-25,Passport appointment,1500,Bills,,manual-chat
2026-03-25T14:10:28.566208,2026-03-25,Milk,24,Food,,manual-chat
2026-03-25T14:54:11.803777,2026-03-25,Friend parcel,691,Shopping,,manual-chat
2026-03-26T06:03:04.651370,2026-03-26,Hair serum,768,Personal care,,manual-chat
2026-03-26T07:15:17.199466,2026-03-26,Lip balm,215.9,Personal care,,manual-chat
2026-03-26T07:36:02.428006,2026-03-26,Necklace and bracelet,550.8,Shopping,,manual-chat
2026-03-26T07:47:30.181826,2026-03-26,Groceries,795,Food,,manual-chat
2026-03-26T14:08:17.389502,2026-03-26,Lenskart specs,2947,Shopping,,manual-chat
2026-03-27T21:12:00+05:30,2026-03-27,Rapido to work,119,Travel,,manual-chat
2026-03-27T21:12:18+05:30,2026-03-27,Rapido to home,142,Travel,,manual-chat
2026-03-27T21:12:35+05:30,2026-03-27,Haircut,250,Personal care,,manual-chat
2026-03-27T21:12:53+05:30,2026-03-27,Rapido from haircut to home,40,Travel,,manual-chat
2026-03-27T21:13:10+05:30,2026-03-27,Milk,25,Food,,manual-chat
2026-03-28T03:12:04+05:30,2026-03-28,Polo tshirt,998,Shopping,,manual-chat
